FSCL_YY	OFFC_CD	OFFC_NM	FSCL_CD	FSCL_NM	ACCT_CD	ACCT_NM	IKWAN_CD	IKWAN_NM	IHANG_CD	IHANG_NM	REVN_BDGAMT_F	REVN_BDGAMT_M	FNT_UDAMT	REVN_BDG_CAMT	RD_AMT	RC_AMT	RV_NAMT	NPL_AMT	NRC_AMT
2007	001	대통령비서실	110	일반회계	00	NA	11	재산수입	51	관유물대여료	0	0	0	0	2978180	2978180	2978180	0	0
2007	001	대통령비서실	110	일반회계	00	NA	12	경상이전수입	59	기타경상이전수입	0	0	0	0	1376190	1376190	1376190	0	0
2007	001	대통령비서실	110	일반회계	00	NA	15	관유물매각대	71	고정자산매각대	25500000	25500000	0	25500000	16497000	16497000	16497000	0	0
2007	002	대통령경호실	110	일반회계	00	NA	11	재산수입	54	기타이자수입및재산수입	17530000	17530000	0	17530000	11530000	11530000	11530000	0	0
2007	002	대통령경호실	110	일반회계	00	NA	12	경상이전수입	59	기타경상이전수입	0	0	0	0	7157060	7157060	7157060	0	0
2007	002	대통령경호실	110	일반회계	00	NA	13	재화및용역판매수입	65	면허료및수수료	0	0	0	0	5245100	5245100	5245100	0	0
2007	002	대통령경호실	110	일반회계	00	NA	13	재화및용역판매수입	69	잡수입	0	0	0	0	1897720	1897720	1897720	0	0
2007	004	국가정보원	110	일반회계	00	NA	11	재산수입	54	기타이자수입및재산수입	0	0	0	0	970880260	970880260	970880260	0	0
2007	005	감사원	110	일반회계	00	NA	11	재산수입	51	관유물대여료	3740000	3740000	0	3740000	4711570	4711570	4711570	0	0
2007	005	감사원	110	일반회계	00	NA	12	경상이전수입	59	기타경상이전수입	2000000	2000000	0	2000000	109379510	3215510	3215510	0	106164000
2007	005	감사원	110	일반회계	00	NA	13	재화및용역판매수입	69	잡수입	110000	110000	0	110000	0	0	0	0	0
2007	005	감사원	110	일반회계	00	NA	14	수입대체경비수입	69	잡수입	239000000	239000000	0	239000000	266382620	266382620	266382620	0	0
2007	006	국회	110	일반회계	00	NA	11	재산수입	51	관유물대여료	47000000	47000000	0	47000000	51253220	51253220	51253220	0	0
2007	006	국회	110	일반회계	00	NA	11	재산수입	54	기타이자수입및재산수입	5000000	5000000	0	5000000	1712500	1712500	1712500	0	0
2007	006	국회	110	일반회계	00	NA	12	경상이전수입	57	변상금및위약금	16000000	16000000	0	16000000	20985800	20985800	20985800	0	0
2007	006	국회	110	일반회계	00	NA	12	경상이전수입	59	기타경상이전수입	220000000	220000000	0	220000000	309285980	309285980	309285980	0	0
2007	006	국회	110	일반회계	00	NA	13	재화및용역판매수입	65	면허료및수수료	100000000	100000000	0	100000000	124310770	124310770	124310770	0	0
2007	006	국회	110	일반회계	00	NA	13	재화및용역판매수입	69	잡수입	50000000	50000000	0	50000000	41417550	41417550	41417550	0	0
2007	006	국회	110	일반회계	00	NA	14	수입대체경비수입	69	잡수입	80000000	80000000	0	80000000	149150000	149150000	149150000	0	0
2007	006	국회	110	일반회계	00	NA	15	관유물매각대	71	고정자산매각대	12000000	12000000	0	12000000	41400000	41400000	41400000	0	0
