"","FSCL_YY","OFFC_NM","PGM_NM","Y_YY_DFN_MEDI_KCUR_AMT"
"1","2013","중소기업청","중소기업수출촉진지원","96000"
"2","2013","중소기업청","중소기업수출촉진지원","134349"
"3","2013","중소기업청","중소기업수출촉진지원","7600"
"4","2013","중소기업청","중소기업기술개발지원","131361000"
"5","2013","중소기업청","중소기업수출촉진지원","50000"
"6","2013","중소기업청","중소기업수출촉진지원","18948000"
"7","2013","중소기업청","중소기업수출촉진지원","10690000"
"8","2013","중소기업청","중소기업수출촉진지원","600000"
"9","2013","중소기업청","중소기업수출촉진지원","5984786"
"10","2013","중소기업청","중소기업수출촉진지원","416000"
"11","2013","중소기업청","중소기업수출촉진지원","10000"
"12","2013","중소기업청","중소기업수출촉진지원","15000"
"13","2013","중소기업청","중소기업수출촉진지원","5600"
"14","2013","중소기업청","중소기업성장안정지원","7500000"
"15","2013","중소기업청","중소기업수출촉진지원","30000"
"16","2013","공정거래위원회","중소기업 경쟁여건 개선","85000"
"17","2013","중소기업청","중소기업수출촉진지원","33600"
"18","2013","중소기업청","중소기업기술개발지원","18379000"
"19","2013","공정거래위원회","중소기업 경쟁여건 개선","79000"
"20","2013","공정거래위원회","중소기업 경쟁여건 개선","5000"
"21","2013","중소기업청","중소기업수출촉진지원","430000"
"22","2013","중소기업청","중소기업수출촉진지원","1281000"
"23","2013","중소기업청","중소기업수출촉진지원","7200"
"24","2013","중소기업청","중소기업수출촉진지원","255000"
"25","2013","중소기업청","중소기업수출촉진지원","24736"
"26","2013","공정거래위원회","중소기업 경쟁여건 개선","180000"
"27","2013","중소기업청","중소기업수출촉진지원","30000"
"28","2013","공정거래위원회","중소기업 경쟁여건 개선","23000"
"29","2013","중소기업청","중소기업수출촉진지원","736354"
"30","2013","중소기업청","중소기업기술개발지원","8500000"
"31","2013","중소기업청","중소기업기술개발지원","300000000"
"32","2013","중소기업청","중소기업수출촉진지원","9000"
"33","2013","중소기업청","중소기업수출촉진지원","13000"
"34","2013","중소기업청","중소기업성장안정지원","1792000"
"35","2013","중소기업청","중소기업성장안정지원","181000"
"36","2013","중소기업청","중소기업수출촉진지원","2049200"
"37","2013","중소기업청","중소기업수출촉진지원","15214"
"38","2013","중소기업청","중소기업성장안정지원","42000"
"39","2013","중소기업청","중소기업수출촉진지원","464459"
"40","2013","중소기업청","중소기업수출촉진지원","15000"
"41","2013","중소기업청","중소기업수출촉진지원","4000"
"42","2013","중소기업청","중소기업수출촉진지원","90400"
"43","2013","중소기업청","중소기업성장안정지원","100000"
"44","2013","중소기업청","중소기업수출촉진지원","3800"
"45","2013","중소기업청","중소기업수출촉진지원","5000"
"46","2013","공정거래위원회","중소기업 경쟁여건 개선","25000"
"47","2013","중소기업청","중소기업수출촉진지원","1700"
"48","2013","중소기업청","중소기업수출촉진지원","203541"
"49","2013","중소기업청","중소기업수출촉진지원","30000"
"50","2013","중소기업청","중소기업성장안정지원","102000"
"51","2013","중소기업청","중소기업기술개발지원","78160000"
"52","2013","중소기업청","중소기업수출촉진지원","31400"
"53","2013","중소기업청","중소기업수출촉진지원","145000"
"54","2013","공정거래위원회","중소기업 경쟁여건 개선","100000"
"55","2013","공정거래위원회","중소기업 경쟁여건 개선","27000"
"56","2013","중소기업청","중소기업성장안정지원","100000"
"57","2013","중소기업청","중소기업성장안정지원","547000"
"58","2013","중소기업청","중소기업성장안정지원","3000"
"59","2013","중소기업청","중소기업성장안정지원","12000"
"60","2013","중소기업청","중소기업수출촉진지원","26000"
"61","2013","공정거래위원회","중소기업 경쟁여건 개선","653800"
"62","2013","중소기업청","중소기업수출촉진지원","5800"
"63","2013","중소기업청","중소기업수출촉진지원","30000"
"64","2013","중소기업청","중소기업기술개발지원","5500000"
"65","2013","중소기업청","중소기업기술개발지원","138878000"
"66","2013","공정거래위원회","중소기업 경쟁여건 개선","30000"
"67","2013","중소기업청","중소기업성장안정지원","3722000"
"68","2013","중소기업청","중소기업수출촉진지원","2000"
"69","2013","중소기업청","중소기업성장안정지원","95000000"
"70","2013","중소기업청","중소기업성장안정지원","50000000"
"71","2013","중소기업청","중소기업수출촉진지원","6975000"
"72","2013","중소기업청","중소기업신용보증지원","110000000"
"73","2013","공정거래위원회","중소기업 경쟁여건 개선","36000"
"74","2013","공정거래위원회","중소기업 경쟁여건 개선","31000"
"75","2013","중소기업청","중소기업신용보증지원","118000000"
"76","2013","중소기업청","중소기업기술개발지원","116593000"
"77","2013","중소기업청","중소기업수출촉진지원","30000"
"78","2013","중소기업청","중소기업수출촉진지원","12000"
"79","2013","중소기업청","중소기업수출촉진지원","909000"
"80","2013","공정거래위원회","중소기업 경쟁여건 개선","20000"
"81","2013","중소기업청","중소기업신용보증지원","216888000"
"82","2013","중소기업청","중소기업성장안정지원","1039000"
"83","2013","중소기업청","중소기업성장안정지원","150000000"
"84","2013","공정거래위원회","중소기업 경쟁여건 개선","7200"
"85","2013","중소기업청","중소기업성장안정지원","3200000"
"86","2013","중소기업청","중소기업수출촉진지원","39963000"
"87","2013","공정거래위원회","중소기업 경쟁여건 개선","144000"
"88","2013","중소기업청","중소기업수출촉진지원","712961"
"89","2013","중소기업청","중소기업신용보증지원","100000000"
"90","2013","중소기업청","중소기업성장안정지원","10000"
"91","2013","중소기업청","중소기업수출촉진지원","20000"
"92","2013","중소기업청","중소기업성장안정지원","635000000"
"93","2013","중소기업청","중소기업수출촉진지원","61750"
"94","2013","중소기업청","중소기업기술개발지원","41503000"
"95","2013","중소기업청","중소기업수출촉진지원","230000"
"96","2013","공정거래위원회","중소기업 경쟁여건 개선","18000"
"97","2013","중소기업청","중소기업수출촉진지원","100600"
"98","2013","중소기업청","중소기업수출촉진지원","29400"
"99","2013","중소기업청","중소기업수출촉진지원","6000"
"100","2013","중소기업청","중소기업기술개발지원","244823000"
"101","2013","중소기업청","중소기업수출촉진지원","0"
"102","2013","중소기업청","중소기업수출촉진지원","6650"
"103","2013","공정거래위원회","중소기업 경쟁여건 개선","144000"
"104","2013","중소기업청","중소기업수출촉진지원","30900"
"105","2014","중소기업청","중소기업신용보증지원","150000000"
"106","2014","중소기업청","중소기업성장안정지원","100000"
"107","2014","중소기업청","중소기업기술개발지원","350000000"
"108","2014","중소기업청","중소기업수출촉진지원","30000"
"109","2014","중소기업청","중소기업수출촉진지원","2000"
"110","2014","중소기업청","중소기업수출촉진지원","1421000"
"111","2014","공정거래위원회","중소기업 경쟁여건 개선","31000"
"112","2014","중소기업청","중소기업성장안정지원","1039000"
"113","2014","중소기업청","중소기업성장안정지원","835000000"
"114","2014","중소기업청","중소기업기술개발지원","145822000"
"115","2014","중소기업청","중소기업수출촉진지원","55000"
"116","2014","공정거래위원회","중소기업 경쟁여건 개선","24800"
"117","2014","중소기업청","중소기업성장안정지원","782000"
"118","2014","중소기업청","중소기업기술개발지원","141361000"
"119","2014","중소기업청","중소기업수출촉진지원","440000"
"120","2014","중소기업청","중소기업수출촉진지원","96000"
